,id
0,7945502
1,8547542
2,5492541
3,2085914
4,4281686
5,2054516
6,5136706
7,579476
8,2567290
9,1044601
10,938343
11,573457
12,1099355
13,62462
14,6662197
15,1557065
16,7942540
17,3034549
18,4468417
19,3455285
20,2661824
21,3849691
22,7447676
23,3314521
24,2460029
25,7339744
26,550641
27,8165757
28,3102807
29,8201472
30,690261
31,182170
32,8650505
33,4001730
34,1301112
35,6924179
36,2468929
37,7051483
38,5304035
39,134850
40,3860893
41,3209912
42,4922888
43,3996325
44,6708261
45,4866842
46,524585
47,1071559
48,4409464
49,5446243
50,5802559
51,5888674
52,6215052
53,6657621
54,289643
55,1728038
56,547220
57,7282303
58,1314850
59,4892346
60,2312605
61,6839225
62,6599424
63,4683596
64,2007619
65,8695132
66,4875260
67,5233876
68,4444052
69,5481410
70,4432595
71,4520384
72,2708746
73,1206441
74,1151759
75,3174854
76,5856950
77,427455
78,8265587
79,389874
80,3145982
81,6562186
82,5439032
83,111018
84,2002889
85,309662
86,6699198
87,2972684
88,530248
89,3707560
90,3342281
91,8587018
92,531631
93,6520332
94,5059109
95,2849532
96,6606941
97,1731005
98,6779867
99,8558672
100,5857274
101,1646500
102,5096698
103,185948
104,1206955
105,6187450
106,2989245
107,2983770
108,1425529
109,4705100
110,4613509
111,1874988
112,7892129
113,6777551
114,7792769
115,5140109
116,129799
117,3433976
118,3763801
119,7141755
120,3211855
121,5786009
122,458675
123,1573785
124,1197254
125,3405819
126,428864
127,1423081
128,3894519
129,4740102
130,1514665
131,3744377
132,7323872
133,584461
134,621487
135,242929
136,664654
137,631182
138,5862198
139,4043818
140,3352392
141,1331878
142,2518435
143,4812952
144,4580663
145,7229682
146,7431991
147,1334922
148,5958891
149,8473209
150,8131425
151,3964466
152,6833158
153,2372485
154,4699940
155,1293963
156,166525
157,1786341
158,3435989
159,7485447
160,1638001
161,3415350
162,3507268
163,1628031
164,3980990
165,6900821
166,2036896
167,7189317
168,1478195
169,7696439
170,7350386
171,1211521
172,7070370
173,6966277
174,2283196
175,6410562
176,5513470
177,2894026
178,1307471
179,8176551
180,7364796
181,4007295
182,1253339
183,6039362
184,5643253
185,969643
186,3193439
187,7428507
188,3892019
189,2320621
190,6536689
191,851852
192,1436324
193,2101007
194,1141216
195,217364
196,3901043
197,8352824
198,5006073
199,2971223
200,6566716
201,2848000
202,2498305
203,1925225
204,4882559
205,7033014
206,358839
207,4820577
208,1882621
209,6075527
210,6566420
211,7618393
212,313366
213,6187650
214,885339
215,1120600
216,7859178
217,1365723
218,2304285
219,4040086
220,8669182
221,3617522
222,7675865
223,444930
224,1046264
225,5162622
226,7745103
227,473638
228,6664232
229,6806439
230,5148689
231,315131
232,5529307
233,8319497
234,6182548
235,3290405
236,7537423
237,7820568
238,899818
239,6555078
240,4361859
241,5796675
242,8276006
243,6044777
244,4004982
245,1619392
246,4841386
247,7730613
248,8304699
249,1503653
250,3571929
251,3251457
252,4108702
253,8648071
254,8271147
255,2087470
256,3572488
257,4303364
258,8203349
259,4686697
260,7868410
261,894195
262,4165639
263,5213124
264,2637832
265,5303548
266,5450783
267,6903072
268,3765494
269,543391
270,7223572
271,654252
272,3120947
273,632746
274,6407613
275,8317951
276,4644525
277,4079803
278,789626
279,8640459
280,3045452
281,8030209
282,3246196
283,6162033
284,4140011
285,2055731
286,2765643
287,1258271
288,5023258
289,947456
290,6190308
291,2708585
292,5642892
293,6823207
294,4403036
295,3883345
296,1267777
297,4682288
298,6562832
299,7288252
300,8677824
301,1248013
302,6906290
303,8436247
304,7737738
305,1604659
306,7951123
307,528508
308,3682236
309,8673322
310,6831669
311,5177267
312,2269146
313,562760
314,2870149
315,1936189
316,5166571
317,2513814
318,3425229
319,210141
320,169455
321,6531758
322,1798010
323,326014
324,957923
325,7654948
326,2377757
327,674251
328,2723146
329,295660
330,5118777
331,4028258
332,4257856
333,2304917
334,8545478
335,6256912
336,369884
337,7711841
338,5129175
339,2678916
340,8417491
341,7701859
342,5512209
343,7926625
344,6951735
345,3918896
346,1163025
347,2027168
348,6716281
349,6900913
350,8555918
351,2018333
352,1685695
353,4141964
354,4878320
355,7347425
356,8551958
357,813603
358,3461666
359,3286796
360,4147972
361,5979657
362,7438680
363,3098872
364,5073931
365,7833094
366,4821609
367,8276944
368,3677784
369,425360
370,6255677
371,1453062
372,7417238
373,1676992
374,6994326
375,891174
376,6723135
377,5475561
378,4560006
379,1331344
380,4652730
381,3549021
382,2809073
383,2493770
384,6916169
385,2291129
386,316860
387,6660414
388,7847353
389,7198530
390,3951865
391,3494725
392,4018049
393,8411303
394,7084726
395,7608287
396,2581271
397,7909549
398,3524607
399,3778070
400,967652
401,2453359
402,667457
403,5552342
404,4964068
405,1284711
406,1224574
407,7771840
408,2382991
409,6680566
410,5882325
411,2391278
412,2676532
413,6087488
414,3860204
415,1767342
416,1123300
417,7428684
418,5344355
419,993140
420,7954089
421,2677964
422,7060001
423,5361988
424,3877169
425,4977603
426,1641299
427,2407473
428,2254988
